Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-02-19,HI,KAISER FOUNDATION HOSPITAL,HONOLULU,Short Term,403.0,372.0,279.0,138.0,129.9,8.9,8.6,310.0,25.4,18.3,19.3,13.4,-999999.0,-999999.0,2821.0,2604.0,1953.0,966.0,909.0,62.0,60.0,2170.0,178.0,128.0,135.0,94.0,12.0,12.0
2021-02-12,HI,KAISER FOUNDATION HOSPITAL,HONOLULU,Short Term,403.0,372.0,279.0,143.0,133.0,10.0,10.0,310.0,26.0,18.0,23.0,16.0,-999999.0,-999999.0,2821.0,2604.0,1953.0,1001.0,931.0,70.0,70.0,2170.0,182.0,126.0,161.0,112.0,21.0,21.0
2021-02-19,HI,HILO MEDICAL CENTER,HILO,Short Term,168.0,162.0,162.0,121.4,121.4,-999999.0,-999999.0,168.0,11.0,11.0,8.7,8.7,-999999.0,-999999.0,1176.0,1134.0,1134.0,850.0,850.0,5.0,5.0,1176.0,77.0,77.0,61.0,61.0,-999999.0,-999999.0
2021-02-19,HI,SAMUEL MAHELONA MEMORIAL HOSPITAL,KAPAA,Critical Access Hospitals,80.0,80.0,14.0,7.7,7.7,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,560.0,98.0,54.0,54.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-12,HI,MOLOKAI GENERAL HOSPITAL,KAUNAKAKAI,Critical Access Hospitals,21.0,21.0,15.0,-999999.0,-999999.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,147.0,105.0,-999999.0,-999999.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-12,HI,HILO MEDICAL CENTER,HILO,Short Term,168.0,168.0,162.0,126.7,126.7,0.0,0.0,168.0,11.0,11.0,9.6,9.6,0.0,0.0,1176.0,1176.0,1134.0,887.0,887.0,0.0,0.0,1176.0,77.0,77.0,67.0,67.0,0.0,0.0
2021-02-12,HI,SHRINERS HOSPITAL FOR CHILDREN,HONOLULU,Childrens Hospitals,24.0,0.0,0.0,-999999.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,5.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-19,HI,SHRINERS HOSPITAL FOR CHILDREN,HONOLULU,Childrens Hospitals,24.0,0.0,0.0,-999999.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,7.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-12,HI,KAHUKU MEDICAL CENTER,KAHUKU,Critical Access Hospitals,21.0,21.0,21.0,20.7,20.7,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,147.0,147.0,145.0,145.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-19,HI,PALI MOMI MEDICAL CENTER,AIEA,Short Term,118.0,118.0,118.0,104.4,104.4,6.3,-999999.0,118.0,17.0,17.0,12.7,12.7,-999999.0,-999999.0,826.0,826.0,826.0,731.0,731.0,44.0,12.0,826.0,119.0,119.0,89.0,89.0,-999999.0,-999999.0
2021-02-12,HI,KAU HOSPITAL,PAHALA,Critical Access Hospitals,21.0,21.0,21.0,18.0,18.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,147.0,147.0,126.0,126.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-12,HI,STRAUB CLINIC AND HOSPITAL,HONOLULU,Short Term,160.3,160.3,159.0,128.1,128.1,5.7,-999999.0,159.0,20.3,20.3,16.7,16.7,-999999.0,-999999.0,1122.0,1122.0,1113.0,897.0,897.0,40.0,19.0,1113.0,142.0,142.0,117.0,117.0,10.0,7.0
2021-02-19,HI,LANAI COMMUNITY HOSPITAL,LANAI CITY,Critical Access Hospitals,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-19,HI,ADVENTIST HEALTH CASTLE,KAILUA,Short Term,98.0,98.0,98.0,79.0,79.0,0.0,0.0,98.0,7.7,7.7,6.0,6.0,0.0,0.0,686.0,686.0,686.0,553.0,553.0,0.0,0.0,686.0,54.0,54.0,42.0,42.0,0.0,0.0
2021-02-19,HI,MAUI MEMORIAL MEDICAL CENTER,WAILUKU,Short Term,249.0,249.0,219.0,200.3,200.3,9.4,7.9,219.0,23.0,23.0,23.0,23.0,-999999.0,-999999.0,1743.0,1743.0,1533.0,1402.0,1402.0,66.0,55.0,1533.0,161.0,161.0,161.0,161.0,14.0,11.0
2021-02-19,HI,KOHALA HOSPITAL,KAPAAU,Critical Access Hospitals,25.0,25.0,25.0,17.0,17.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,175.0,119.0,119.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-12,HI,KAUAI VETERANS MEMORIAL HOSPITAL,WAIMEA,Critical Access Hospitals,45.0,45.0,25.0,12.1,12.1,0.0,0.0,25.0,4.0,4.0,-999999.0,-999999.0,0.0,0.0,315.0,315.0,175.0,85.0,85.0,0.0,0.0,175.0,28.0,28.0,6.0,6.0,0.0,0.0
2021-02-12,HI,MAUI MEMORIAL MEDICAL CENTER,WAILUKU,Short Term,249.0,249.0,219.0,208.3,208.3,7.4,6.0,219.0,23.7,23.7,23.7,23.7,-999999.0,-999999.0,1743.0,1743.0,1533.0,1458.0,1458.0,52.0,42.0,1533.0,166.0,166.0,166.0,166.0,19.0,19.0
2021-02-19,HI,KAHUKU MEDICAL CENTER,KAHUKU,Critical Access Hospitals,21.0,21.0,21.0,21.0,21.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,147.0,147.0,147.0,147.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-12,HI,THE QUEENS MEDICAL CENTER,HONOLULU,Short Term,741.0,741.0,665.0,540.7,527.7,18.3,17.9,665.0,84.0,84.0,42.3,42.3,7.0,6.9,5187.0,5187.0,4655.0,3785.0,3694.0,128.0,125.0,4655.0,588.0,588.0,296.0,296.0,49.0,48.0
